Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
0.02%     !!!0000!4b4c2b4679a9966d15625cf975bc59!0c393b63cf!
0.02%     !!!0000!5655c3d03f403c46c8593a9d046d65!0c393b63cf!
0.02%     !!!0000!5ab957e273424b72a2a6f87d4733d5!0c393b63cf!
0.02%     !!!0000!5dc7346c0df41204755232e190504f!0c393b63cf!
0.02%     !!!0000!617cb78f26a804361390ca5905ae2a!0c393b63cf!
0.02%     !!!0000!649a911fc669ffc3a84d30b37c305d!0c393b63cf!
0.02%     !!!0000!670c6a640c2716fc6b22babd82ad94!0c393b63cf!
0.02%     !!!0000!68841490d30b55d789b8284eada797!0c393b63cf!
0.02%     !!!0000!71de68a76b6212767cde8245ad7a6f!0c393b63cf!
0.02%     !!!0000!7303002872fff13efe4a335ac80083!0c393b63cf!
0.02%     !!!0000!74fc56946658204a6de639afc631a9!0c393b63cf!
